,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
132,2024-04-04,170.85495125437737,163.92212390412823,175.90909810532816,170.85495125437737,170.85495125437737,-0.923358897721013,-0.923358897721013,-0.923358897721013,-0.923358897721013,-0.923358897721013,-0.923358897721013,0.0,0.0,0.0,169.93159235665635
133,2024-04-05,170.64587137682065,164.51019936072302,175.78153750430545,170.64587137682065,170.64587137682065,-0.5093569928274888,-0.5093569928274888,-0.5093569928274888,-0.5093569928274888,-0.5093569928274888,-0.5093569928274888,0.0,0.0,0.0,170.13651438399316
134,2024-04-08,170.0186317441504,163.4544080153388,174.68361357441296,170.0186317441504,170.0186317441504,-0.8164784817761762,-0.8164784817761762,-0.8164784817761762,-0.8164784817761762,-0.8164784817761762,-0.8164784817761762,0.0,0.0,0.0,169.20215326237422
135,2024-04-09,169.80955186659367,163.08288027887622,175.02007861329875,169.80955186659367,169.80955186659367,-0.9413880343396942,-0.9413880343396942,-0.9413880343396942,-0.9413880343396942,-0.9413880343396942,-0.9413880343396942,0.0,0.0,0.0,168.86816383225397
136,2024-04-10,169.861451037575,163.0444042017713,174.66878804113657,169.861451037575,169.861451037575,-0.9670618611335718,-0.9670618611335718,-0.9670618611335718,-0.9670618611335718,-0.9670618611335718,-0.9670618611335718,0.0,0.0,0.0,168.89438917644142
137,2024-04-11,169.91335020855627,162.81666787715773,174.7677746549148,169.91335020855627,169.91335020855627,-0.9233588977202732,-0.9233588977202732,-0.9233588977202732,-0.9233588977202732,-0.9233588977202732,-0.9233588977202732,0.0,0.0,0.0,168.989991310836
138,2024-04-12,169.9652493795376,163.50472655911167,174.93822669015026,169.9652493795376,169.9652493795376,-0.5093569928254532,-0.5093569928254532,-0.5093569928254532,-0.5093569928254532,-0.5093569928254532,-0.5093569928254532,0.0,0.0,0.0,169.45589238671215
139,2024-04-15,170.12094689248147,163.0304962019237,174.76494705521182,170.12094689248147,170.12094689248147,-0.8164784817766353,-0.8164784817766353,-0.8164784817766353,-0.8164784817766353,-0.8164784817766353,-0.8164784817766353,0.0,0.0,0.0,169.30446841070483
140,2024-04-16,170.17284606346277,163.1714208027378,175.10029667823176,170.17284606346277,170.17284606346277,-0.9413880343391663,-0.9413880343391663,-0.9413880343391663,-0.9413880343391663,-0.9413880343391663,-0.9413880343391663,0.0,0.0,0.0,169.23145802912362
141,2024-04-17,170.22474523444407,163.5035864747566,175.40715852560723,170.22474523444407,170.22474523444407,-0.9670618611339291,-0.9670618611339291,-0.9670618611339291,-0.9670618611339291,-0.9670618611339291,-0.9670618611339291,0.0,0.0,0.0,169.25768337331013
142,2024-04-18,170.27664440542537,163.5947419059933,175.14149945946295,170.27664440542537,170.27664440542537,-0.9233588977209062,-0.9233588977209062,-0.9233588977209062,-0.9233588977209062,-0.9233588977209062,-0.9233588977209062,0.0,0.0,0.0,169.35328550770447
143,2024-04-19,170.32854357640667,163.9509119916926,175.6087124299894,170.32854357640667,170.32854357640667,-0.5093569928321346,-0.5093569928321346,-0.5093569928321346,-0.5093569928321346,-0.5093569928321346,-0.5093569928321346,0.0,0.0,0.0,169.81918658357455
144,2024-04-22,171.8896919232504,164.95081045903598,177.22734108195135,171.8896919232504,171.8896919232504,-0.8164784817770943,-0.8164784817770943,-0.8164784817770943,-0.8164784817770943,-0.8164784817770943,-0.8164784817770943,0.0,0.0,0.0,171.0732134414733
145,2024-04-23,172.4100747055317,165.5734323773567,177.70443808707714,172.4100747055317,172.4100747055317,-0.9413880343391406,-0.9413880343391406,-0.9413880343391406,-0.9413880343391406,-0.9413880343391406,-0.9413880343391406,0.0,0.0,0.0,171.4686866711926
